标题,地址,完成
多多良浜之战,www.bilibili.com/video/BV1dX4y1W7Fu
大内＆尼子复兴战,www.bilibili.com/video/BV1Sj411o7ip
青山＆土器山之战,www.bilibili.com/video/BV1Bj411z7ys
第三次信长包围网,www.bilibili.com/video/BV1Gm4y1H7pg
手取川之战,www.bilibili.com/video/BV1ep4y1j77e
播磨平定,www.bilibili.com/video/BV1pm4y1N7pv
御馆之乱,www.bilibili.com/video/BV1R84y127Hj
第二次上月城之战,www.bilibili.com/video/BV1j94y1t7Hn
木崎原之战,www.bilibili.com/video/BV1384y1R72z
耳川之战,www.bilibili.com/video/BV1TQ4y187kL
信康之死、大阪平定、流放佐久间、京都阅马,www.bilibili.com/video/BV1De411f7xy
甲州征伐,www.bilibili.com/video/BV1m64y1L7Ja
龙造寺的崛起，今山之战，长宗我部的由来，一领具足,www.bilibili.com/video/BV1ou4y1H7Sh
四万十川之战,www.bilibili.com/video/BV11e411B797
本能寺之变,www.bilibili.com/video/BV18e411q7Nr
明智光秀的动机,www.bilibili.com/video/BV1Q94y1u7kB
山崎之战,www.bilibili.com/video/BV1Ha4y1m7zH
清须会议 贱岳合战,www.bilibili.com/video/BV1bk4y1U7L3
小牧长久手之战,www.bilibili.com/video/BV13t421p71j
纪伊和四国征伐,www.bilibili.com/video/BV1jm411f75p
关白就任和第一次上田合战,www.bilibili.com/video/BV1Bx421f71T
冲田畷之战,www.bilibili.com/video/BV1wi421o79H
九州平定,www.bilibili.com/video/BV1Qx421k7Bf
人取桥之战，折上原之战,www.bilibili.com/video/BV1hx4y1v7Yc
第二次小田原征伐,www.bilibili.com/video/BV1Vx421U7Sb
关东转封和奥州仕置,www.bilibili.com/video/BV1ep421X7Kx
天下统一，太阁立志,www.bilibili.com/video/BV1mz421U76H
文禄庆长之役：战前准备,www.bilibili.com/video/BV13y411a7Nn
文禄庆长之役：崩溃的庆尚道,www.bilibili.com/video/BV1nJ4m1373K
文禄庆长之役：弹琴台之战,www.bilibili.com/video/BV1Nx4y1b7e3
文禄庆长之役：宣祖北狩,www.bilibili.com/video/BV1s1421r73U
文禄庆长之役：临津江之战，龙仁之战，大同江之战，三都沦陷,www.bilibili.com/video/BV1X4421Q7DP
文禄庆长之役：大明来援，第一次和第二次平壤之战,www.bilibili.com/video/BV1XH4y1F7wa
文禄庆长之役：八道国割之咸镜道,www.bilibili.com/video/BV1FT421k78k
文禄庆长之役：黄海道和江原道,www.bilibili.com/video/BV1TE421A7EJ
文禄庆长之役：全罗道、庆尚道和朝鲜水军,www.bilibili.com/video/BV11H4y1c7ut
文禄庆长之役：碧蹄馆之战，沈惟敬的和谈，李如松出兵，第三次平壤之战,www.bilibili.com/video/BV1uf421B78E
文禄庆长之役：幸州山城之战，明日和谈,www.bilibili.com/video/BV1KE4m1d74M
文禄庆长之役：第二次晋州之战,www.bilibili.com/video/BV1NE4m1d76v
文禄庆长之役：和谈破裂,www.bilibili.com/video/BV1QenZetEKx
文禄庆长之役：丰臣秀次切腹事件,www.bilibili.com/video/BV1jA48eqETm
文禄庆长之役：鸣梁海战，南原城之战，稷山之战,www.bilibili.com/video/BV1jhxKeTEZv
文禄庆长之役：太阁宾天,www.bilibili.com/video/BV1NFmPYjEYt
文禄庆长之役：泗川之战，顺天之战，露梁海战，征朝结束,www.bilibili.com/video/BV1WnSmYBEPo
“七将袭击”事件,www.bilibili.com/video/BV1L7UhYkE7r
前田利长的失势,www.bilibili.com/video/BV1vHzrY7E1o
宇喜多骚动,www.bilibili.com/video/BV1G4BGYtEfW
庄内之乱,www.bilibili.com/video/BV1DvCsYME4s
毛利继承争议,www.bilibili.com/video/BV1LDcxeZEN7
直江状,www.bilibili.com/video/BV1xDfZYcE7M
会津征伐、上方起兵、小山评定,www.bilibili.com/video/BV1XiAzeaEtb
关原分战场：大津，四国,www.bilibili.com/video/BV1YaRhY9E7i
关原分战场：上杉，真田,www.bilibili.com/video/BV1oKXhY9EXj
关原分战场：黑田，细川，岐阜城之战,www.bilibili.com/video/BV1SkR9YLEPZ
关原合战（通说）,www.bilibili.com/video/BV1G2LRzeEVx
关原合战（新说）,www.bilibili.com/video/BV1G1LRzNEod
战后处置，将军就任，二条城会面,www.bilibili.com/video/BV1xZEjzWEjH
方广寺钟铭,www.bilibili.com/video/BV1b5jbzWE16
大阪冬之阵,www.bilibili.com/video/BV1PoTyzBE2N
大阪夏之阵，元和偃武,www.bilibili.com/video/BV1SxKNzaEvX
岛原之乱：上,www.bilibili.com/video/BV1p4u7zcE6s
岛原之乱：下,www.bilibili.com/video/BV1kguXzfE9Y
岛津家的琉球侵攻,www.bilibili.com/video/BV1rkbwzYEGo
