index,id,title,douyin_url,baidu_url
374,1324,真壁久干,/wikiid/7205511885774195967?source=search,https://baike.baidu.com/item/%E7%9C%9F%E5%A3%81%E4%B9%85%E5%B9%B2
375,259,足利高基,,
376,1734,村木砦之战,,
377,680,一万田鉴实,/wikiid/2857310147346558773?source=search,
378,682,三刀屋久扶,,
379,1706,佐和山城之战,,
380,1703,交野城之战,,
381,853,喜入季久,,
382,1291,熊谷直盛,,https://baike.baidu.com/item/%E7%86%8A%E8%B0%B7%E7%9B%B4%E7%9B%9B
383,1212,横山长隆,,
384,1845,落武者,/wikiid/4698526862482263399?source=search,https://baike.baidu.com/item/%E8%90%BD%E6%AD%A6%E8%80%85
385,1209,榊原清政,/wikiid/6778340059565913728?source=search,
386,56,宗像氏贞,/wikiid/2694960371326550146?source=search,https://baike.baidu.com/item/%E5%AE%97%E5%83%8F%E6%B0%8F%E8%B4%9E
387,773,佐竹义宪,,
388,5,尼子胜久,/wikiid/6893918401395231063?source=search,https://baike.baidu.com/item/%E5%B0%BC%E5%AD%90%E8%83%9C%E4%B9%85/1612779
389,418,驹井高白斋,/wikiid/9011817126543358220?source=search,
390,102,上杉景胜,/wikiid/8987900704078806928?source=search,https://baike.baidu.com/item/%E4%B8%8A%E6%9D%89%E6%99%AF%E8%83%9C/1441952
391,2081,松平忠辉,/wikiid/4142519753411012377?source=search,https://baike.baidu.com/item/%E6%9D%BE%E5%B9%B3%E5%BF%A0%E8%BE%89
392,41,小西行长,/wikiid/5568417615195160706?source=search,https://baike.baidu.com/item/%E5%B0%8F%E8%A5%BF%E8%A1%8C%E9%95%BF/1612762
393,431,前田利长,/wikiid/6811732045415755686?source=search,https://baike.baidu.com/item/%E5%89%8D%E7%94%B0%E5%88%A9%E9%95%BF/6446704
394,303,安宅冬康,/wikiid/8037708354256874291?source=search,https://baike.baidu.com/item/%E5%AE%89%E5%AE%85%E5%86%AC%E5%BA%B7
395,275,阿苏惟将,/wikiid/423744574488219356?source=search,https://baike.baidu.com/item/%E9%98%BF%E8%8B%8F%E6%83%9F%E5%B0%86
396,940,室贺信俊,,
397,42,前田利家,/wikiid/7893253528455236021?source=search,https://baike.baidu.com/item/%E5%89%8D%E7%94%B0%E5%88%A9%E5%AE%B6/25286
398,53,毛利隆元,/wikiid/5414251021740298207?source=search,https://baike.baidu.com/item/%E6%AF%9B%E5%88%A9%E9%9A%86%E5%85%83/129045
399,1498,长尾忠景,,
400,284,赤泽长经,,
401,408,木村重成,/wikiid/2521100168754684693?source=search,https://baike.baidu.com/item/%E6%9C%A8%E6%9D%91%E9%87%8D%E6%88%90/1648934
402,1190,柴田康忠,,
403,1436,蒲生定秀,/wikiid/193599929650433964?source=search,https://baike.baidu.com/item/%E8%92%B2%E7%94%9F%E5%AE%9A%E7%A7%80
404,990,小野政直,,
405,1421,织田信家,,
406,1496,长坂信政,/wikiid/4216597666929816256?source=search,https://baike.baidu.com/item/%E9%95%BF%E5%9D%82%E4%BF%A1%E6%94%BF
407,1289,泷本寺非有,/wikiid/1940386251405754446?source=search,https://baike.baidu.com/item/%E6%B3%B7%E6%9C%AC%E5%AF%BA%E9%9D%9E%E6%9C%89
408,655,安田显元,,
409,2029,御教书,,
410,274,阿苏惟前,,
411,1334,石川家成,,
412,1464,赤松则英,,
413,494,织田胜长,/wikiid/6085282534073374539?source=search,https://baike.baidu.com/item/%E7%BB%87%E7%94%B0%E8%83%9C%E9%95%BF
414,1030,冈部亲纲,/wikiid/8761032734891729152?source=search,
415,1487,野村祐胜,,
416,1488,野野村正成,/wikiid/3531669606265807249?source=search,https://baike.baidu.com/item/%E9%87%8E%E9%87%8E%E6%9D%91%E6%AD%A3%E6%88%90
417,808,前波景当,,
418,1389,细川幸隆,,
419,1208,榊原忠长,/wikiid/7954800389115841429?source=search,https://baike.baidu.com/item/%E6%A6%8A%E5%8E%9F%E5%BF%A0%E9%95%BF
420,979,小笠原信兴,,
421,1969,岩屋城之战 (淡路国),,
422,1194,桂元忠,,https://baike.baidu.com/item/%E6%A1%82%E5%85%83%E5%BF%A0
423,1710,北伊势之战,,
424,397,金子元宅,/wikiid/4767084007853768993?source=search,https://baike.baidu.com/item/%E9%87%91%E5%AD%90%E5%85%83%E5%AE%85
425,79,里见义弘,/wikiid/4512140231188507347?source=search,https://baike.baidu.com/item/%E9%87%8C%E8%A7%81%E4%B9%89%E5%BC%98/5758352
426,2087,相应院,,https://baike.baidu.com/item/%E7%9B%B8%E5%BA%94%E9%99%A2
427,1883,久昌寺 (江南市),,
428,1588,金忠善,/wikiid/2545880381213406530?source=search,https://baike.baidu.com/item/%E9%87%91%E5%BF%A0%E5%96%84
429,1233,毛利秀赖,,
430,1413,织田信衡,/wikiid/7031050003042519523?source=search,https://baike.baidu.com/item/%E7%BB%87%E7%94%B0%E4%BF%A1%E8%A1%A1
431,319,江良房荣,,
432,1717,姊川之战,,https://baike.baidu.com/item/%E5%A7%8A%E5%B7%9D%E5%90%88%E6%88%98/10518581?fromtitle=%E5%A7%8A%E5%B7%9D%E4%B9%8B%E6%88%98&fromid=437340
433,1329,真田昌亲,,
434,1983,丰国神社,/wikiid/4733866613373168914?source=search,https://baike.baidu.com/item/%E4%B8%B0%E5%9B%BD%E7%A5%9E%E7%A4%BE
435,435,牧野康成 (战国武将),/wikiid/4869098567302961369?source=search,
436,1322,相良忠房,/wikiid/6993199011013907008?source=search,https://baike.baidu.com/item/%E7%9B%B8%E8%89%AF%E5%BF%A0%E6%88%BF
437,257,足利晴氏,/wikiid/4880063565348989338?source=search,https://baike.baidu.com/item/%E8%B6%B3%E5%88%A9%E6%99%B4%E6%B0%8F
438,2072,德川家灵庙,/wikiid/2955105877904819736?source=search,https://baike.baidu.com/item/%E5%BE%B7%E5%B7%9D%E5%AE%B6%E7%81%B5%E5%BA%99
439,690,三弹正,/wikiid/3347176913326819860?source=search,https://baike.baidu.com/item/%E4%B8%89%E5%BC%B9%E6%AD%A3
440,897,大野治房,/wikiid/2083301487825037800?source=search,https://baike.baidu.com/item/%E5%A4%A7%E9%87%8E%E6%B2%BB%E6%88%BF/1646131
441,91,武田元光,/wikiid/408796479273627017?source=search,https://baike.baidu.com/item/%E6%AD%A6%E7%94%B0%E5%85%83%E5%85%89
442,2069,市姬,/wikiid/965332948845361328?source=search,
443,987,小西隆佐,/wikiid/2036836675505720708?source=search,https://baike.baidu.com/item/%E5%B0%8F%E8%A5%BF%E9%9A%86%E4%BD%90
444,674,一宫宗是,,
445,6,尼子义久,/wikiid/6818173712211788262?source=search,https://baike.baidu.com/item/%E5%B0%BC%E5%AD%90%E4%B9%89%E4%B9%85
446,446,三好政康,/wikiid/6420813170723068129?source=search,https://baike.baidu.com/item/%E4%B8%89%E5%A5%BD%E6%94%BF%E5%BA%B7
447,636,氏家行广,/wikiid/5987893359044800062?source=search,https://baike.baidu.com/item/%E6%B0%8F%E5%AE%B6%E8%A1%8C%E5%B9%BF
448,448,水野忠政,/wikiid/8411568084875638635?source=search,https://baike.baidu.com/item/%E6%B0%B4%E9%87%8E%E5%BF%A0%E6%94%BF
449,1107,曾根虎长,,
450,1237,毛马内政次,,
451,1012,山冈景以,,
452,1863,本能寺,/wikiid/3861590230542477190?source=search,https://baike.baidu.com/item/%E6%9C%AC%E8%83%BD%E5%AF%BA/8305014
453,535,酒井正亲,/wikiid/5090244398187126548?source=search,https://baike.baidu.com/item/%E9%85%92%E4%BA%95%E6%AD%A3%E4%BA%B2
454,1362,稻富祐直,,https://baike.baidu.com/item/%E7%A8%BB%E5%AF%8C%E4%BD%91%E7%9B%B4/129061?fromtitle=%E7%A8%BB%E5%AF%8C%E7%A5%90%E7%9B%B4&fromid=5074453
455,1350,神户具盛 (第4代当主),/wikiid/1343861734782804534?source=search,
456,1240,氏家行继,,https://baike.baidu.com/item/%E6%B0%8F%E5%AE%B6%E8%A1%8C%E7%BB%A7
457,1348,神子田正治,/wikiid/6790857451731788673?source=search,https://baike.baidu.com/item/%E7%A5%9E%E5%AD%90%E7%94%B0%E6%AD%A3%E6%B2%BB
458,501,小原继忠,,
459,1134,本多忠真,,https://baike.baidu.com/item/%E6%9C%AC%E5%A4%9A%E5%BF%A0%E7%9C%9F
460,1016,山崎吉家,,https://baike.baidu.com/item/%E5%B1%B1%E5%B4%8E%E5%90%89%E5%AE%B6
461,1245,池田光重,,
462,609,德川四天王,/wikiid/8854631273066446370?source=search,https://baike.baidu.com/item/%E5%BE%B7%E5%B7%9D%E5%9B%9B%E5%A4%A9%E7%8E%8B/4283239
463,591,高玉常赖,,
464,1567,黑田秀忠,,
465,923,宇喜多秀高,,
